Date,CAC Index,AC FP Equity,AF FP Equity,AI FP Equity,ALU FP Equity,ALO FP Equity,MT NA Equity,CS FP Equity,BNP FP Equity,EN FP Equity,CAP FP Equity,CA FP Equity,ACA FP Equity,BN FP Equity,DEXB BB Equity,EAD FP Equity,EDF FP Equity,EI FP Equity,FTE FP Equity,GSZ FP Equity,OR FP Equity,LG FP Equity,MMB FP Equity,MC FP Equity,ML FP Equity,RI FP Equity,UG FP Equity,PP FP Equity,RNO FP Equity,SGO FP Equity,SAN FP Equity,SU FP Equity,GLE FP Equity,STM FP Equity,SEV FP Equity,FP FP Equity,UL FP Equity,VK FP Equity,VIE FP Equity,DG FP Equity,VIV FP Equity,TEC FP Equity
2001-01-15,5833.38,44.9184,22.47,51.0894,68.8,231.881,3.69,33.7745,48.4587,46.1237,192.5,60.5,,33.6397,18.04,22.3,,16.125,78.6287,,79.55,79.8959,64.4032,67.65,40.51,22.8085,44.35,230.9,52.4,36.2036,57.2,73.3904,64.07,45.43,,39.0568,45.0253,10.6646,40.749,15.4388,74.2,35.6768
2001-01-16,5761.67,45.5804,23.44,49.9875,67.75,230.048,3.86,33.9162,48.1212,45.3085,186.7,60.0,,34.2059,17.9,22.6,,16.165,76.4564,,77.8,81.675,64.1613,68.25,40.35,22.5773,43.0,227.9,52.0,36.8168,57.4,64.6994,61.7787,44.01,,38.0699,45.8767,10.5578,39.436,15.537,73.9,36.1345
2001-01-17,5884.09,45.6088,23.35,51.0226,69.8,234.6306,4.25,34.4358,48.3623,46.9389,196.0,60.1,,33.5926,18.08,23.21,,16.125,79.0121,,80.5,82.4028,65.8064,71.85,41.0,23.0859,43.3333,228.9,51.95,36.6351,59.3,66.8239,64.731,48.59,,37.1816,45.6187,10.3249,39.9709,15.7088,77.2,35.8936
2001-01-18,5860.16,46.3369,23.99,49.5868,68.1,225.4653,4.25,33.8454,47.7114,46.9818,194.3,59.5,,33.4982,18.13,23.45,,16.35,82.1215,,79.7,81.675,67.2581,72.3,40.6,23.1167,44.5,229.3,53.9,37.0667,59.1,65.9065,63.8057,49.37,,36.5402,44.9221,10.1891,39.0957,15.6843,76.4,35.1227
2001-01-19,5845.73,47.1407,24.03,49.9541,68.75,231.4227,4.14,33.3021,46.4818,48.4835,200.9,58.2,,32.2715,17.81,23.0,,16.32,80.9714,,78.6,79.9768,68.6129,72.5,41.08,24.3033,46.6667,232.5,56.35,38.2704,57.25,65.6651,61.8668,50.3,,36.1454,45.5929,9.995,38.0259,15.5861,77.75,34.3518
2001-01-22,5882.76,46.2424,23.65,50.0877,67.05,230.2313,3.9,33.7037,47.8801,48.3119,197.5,60.75,,32.3187,18.01,22.39,,16.255,80.0769,,81.4,80.7617,66.4839,71.7,41.26,23.502,46.2333,230.7,57.05,38.2704,59.75,64.6994,62.4396,50.75,,36.7375,44.9221,10.1697,39.8737,15.4634,78.75,32.0392
2001-01-23,5839.73,46.0532,24.0,49.8205,66.2,226.8401,3.31,33.8454,47.5908,47.1106,186.3,60.5,,33.9936,18.55,23.05,,15.88,77.4787,,82.9,81.5879,65.1774,72.9,40.2,24.4575,46.3333,232.0,55.9,38.1569,58.45,66.6308,60.1483,49.0,,36.2688,45.2317,9.5603,41.1866,15.267,79.5,33.6291
2001-01-24,5900.32,46.6206,23.5,49.4198,67.15,232.3393,3.55,34.0579,47.4944,48.4835,186.0,60.0,,34.7485,18.58,23.78,,16.325,81.6955,,81.85,81.1335,65.9032,69.5,41.0,23.24,45.35,226.0,56.25,38.225,57.1,68.2241,61.294,50.0,,37.305,45.6445,10.1891,40.4572,15.2179,81.1,32.8583
2001-01-25,5934.68,46.1951,23.0,48.8188,64.0,224.0905,3.58,34.7901,46.6988,50.1998,186.0,61.9,,35.2675,18.55,23.65,,16.2,81.6103,,80.95,80.5551,65.4194,71.5,41.25,24.2571,46.1167,222.6,56.8,39.6332,60.5,71.8453,61.1177,49.1,,38.1932,45.3091,10.2473,41.3325,15.4634,81.35,33.9423
2001-01-26,5925.62,45.2021,22.6,48.1509,61.9,219.9662,3.65,34.9318,46.8193,49.3846,198.0,64.0,,35.9752,18.59,23.13,,16.005,82.3344,,81.45,81.34,66.1935,69.7,41.49,24.6578,46.4333,223.3,54.6,38.1569,61.75,72.0385,60.3686,48.45,,38.588,45.6961,10.2861,41.3325,15.1688,80.0,34.0869
2001-01-29,5887.9,45.5331,22.9,47.817,60.45,224.5488,3.8,34.9554,46.6506,47.1106,200.0,63.15,,36.0931,18.33,23.0,,16.1,81.6955,,81.5,81.3813,65.7097,71.6,41.51,24.3496,45.1667,223.0,55.0,38.6111,59.5,72.9076,60.5449,48.2,,38.5386,46.238,10.0726,40.4086,15.0461,79.75,34.1832
2001-01-30,5917.15,45.3818,23.0,48.2845,59.1,232.7059,3.59,34.6248,47.7114,45.094,206.2,63.85,,34.7957,18.14,23.15,,16.005,83.2715,,82.1,81.3813,65.7581,71.45,41.9,23.8256,45.4833,224.1,55.65,38.6111,61.0,71.9419,62.9684,49.19,,38.2672,45.9284,10.4802,41.3325,14.8497,81.3,34.6168
2001-01-31,5998.49,46.5261,23.39,48.7186,63.75,243.3376,3.6,34.9082,47.9283,43.7639,209.0,66.85,,33.4982,17.85,23.0,,16.75,84.5919,,83.0,82.1249,66.2903,70.3,41.0,24.3496,45.6667,225.1,54.3,39.6559,61.9,71.8453,63.7616,51.3,,39.1061,46.1864,10.7228,41.4686,14.6043,81.25,36.014
2001-02-01,5899.72,43.5378,24.37,47.7836,63.2,237.8384,3.78,34.672,47.1569,43.9355,198.5,66.3,,33.2623,17.99,23.24,,16.55,82.4196,,80.0,84.6862,66.0484,70.0,41.4,24.3496,45.6667,229.0,55.25,40.201,60.0,69.5278,61.4262,49.99,,38.1439,46.3154,10.6937,41.8187,14.6043,79.65,35.6527
2001-02-02,5826.37,43.708,23.55,48.0841,61.6,242.8793,4.18,33.9162,47.0122,44.7507,197.0,65.1,,33.0264,17.88,23.31,,16.25,78.8843,,79.05,85.595,65.6613,68.3,41.0,23.3941,46.1667,226.6,54.6,39.724,58.95,68.7552,60.8974,48.53,,38.6127,46.0832,10.8684,41.3811,15.4756,78.75,36.1104
2001-02-05,5823.49,44.3511,23.4,47.9172,60.2,241.5045,4.35,33.4202,46.4336,43.9784,192.2,65.9,,33.1207,17.82,23.4,,16.35,78.288,,79.0,84.1905,63.5806,68.3,41.3,22.9009,45.45,228.0,54.8,38.7474,61.0,68.5621,61.6024,46.85,,39.8463,46.2122,10.6743,42.305,15.4634,78.0,36.5681
2001-02-06,5852.35,44.4456,23.19,47.7502,61.7,236.0054,4.36,33.9398,46.3613,44.4075,195.8,65.4,,34.2059,17.99,23.5,,16.5,75.8175,,81.2,85.595,63.3871,68.2,41.05,24.0105,45.5,228.3,55.35,39.7695,61.85,67.8378,60.8974,48.1,,39.8463,46.4186,11.0624,42.6454,15.3406,78.05,36.5681
2001-02-07,5752.14,44.9184,22.81,48.4181,59.2,236.0054,4.1,33.8926,46.2889,43.3778,189.0,64.6,,34.7957,18.18,23.15,,16.155,70.7062,,81.8,87.5779,59.7097,68.25,41.05,23.0859,46.0,227.5,55.85,39.9057,62.0,68.5138,60.7211,45.0,,38.8841,46.367,11.043,42.7913,15.2302,77.15,37.0981
2001-02-08,5773.46,45.2589,22.55,49.0191,57.95,240.7713,3.85,33.4911,46.3131,43.249,193.2,64.6,,34.6777,18.35,23.15,,16.65,71.6859,,81.9,86.9996,60.0,67.7,40.25,23.4249,45.4667,228.5,57.0,39.5196,63.2,70.7831,60.8533,44.5,,39.1061,46.4444,11.0139,44.2501,15.4879,77.75,36.6885
2001-02-09,5712.36,43.9633,21.36,49.52,55.15,259.2851,3.84,33.0423,46.747,41.61,189.4,65.0,,34.5126,18.14,22.81,,16.15,70.7914,,81.5,85.0993,60.5806,66.85,40.08,23.4249,44.9833,228.5,55.5,39.4742,63.0,69.3346,60.7211,42.05,,39.2048,46.6508,10.7713,42.4022,15.3406,76.3,35.6527
2001-02-12,5759.48,44.3038,21.3,49.8539,56.2,259.5601,3.8,33.373,46.8193,41.9104,193.9,66.75,,34.9136,18.19,23.0,,15.66,71.5581,,80.1,86.9996,61.9839,67.75,40.37,23.1167,45.3333,231.5,55.7,39.2698,64.0,67.693,59.928,43.67,,39.5502,46.7024,10.7713,43.3942,15.267,76.2,36.7367
2001-02-13,5739.03,43.7364,21.6,50.0877,56.6,261.2098,3.92,33.0423,47.2533,40.9836,192.2,67.65,,34.89,18.19,22.95,,15.75,67.0431,,81.1,87.0822,60.7258,67.3,40.5,23.4249,44.9833,230.4,53.5,38.6111,64.6,67.4033,60.0161,44.99,,39.2295,46.7024,10.7519,43.8124,15.3161,76.95,37.1703
2001-02-14,5644.23,43.377,21.65,50.4216,52.45,264.4177,3.75,32.9479,46.7229,37.3624,193.8,68.15,,34.9372,17.97,22.52,,15.675,61.3355,,82.05,88.8998,59.6613,66.3,41.05,23.3941,46.15,227.0,56.85,38.4748,64.4,66.3411,59.0467,42.7,,39.5255,47.9925,10.3832,44.4446,15.6965,75.45,37.4835
2001-02-15,5704.53,43.0271,22.65,50.7221,56.5,269.0003,3.75,32.0504,46.1684,38.1862,205.4,68.5,,35.0316,17.83,22.5,,16.25,62.1448,,82.15,87.4953,62.4194,69.85,41.9,22.7468,45.6833,227.0,57.65,38.6565,63.3,65.9065,59.7517,46.02,,39.4269,48.3796,10.9654,44.6391,15.9788,76.2,37.4112
2001-02-16,5595.13,43.4054,22.43,51.1562,51.55,272.2081,3.61,32.4755,45.0353,36.0409,199.1,67.85,,34.6305,17.87,22.31,,15.975,58.9929,,84.4,89.0651,60.9677,67.0,42.5,22.4232,46.5667,223.9,56.7,38.9518,63.1,67.017,58.5179,43.3,,38.8841,49.2827,10.8684,44.8336,16.0033,72.25,37.9653
2001-02-19,5584.75,44.4551,21.65,51.1228,49.75,265.8841,3.66,32.8298,45.2282,36.0409,198.9,67.6,,34.7721,17.59,21.5,,16.275,58.0132,,84.0,90.0565,60.4839,68.0,42.18,22.8085,46.3333,222.2,57.0,38.9518,63.85,67.5481,59.1789,41.96,,39.2788,49.2827,10.7228,44.7947,15.9052,72.8,37.7967
2001-02-20,5548.74,45.3913,22.11,50.455,48.55,269.0003,3.75,32.3338,45.1799,36.0409,197.1,66.1,,35.3382,17.44,21.88,,15.855,58.6521,,83.5,89.3129,59.9032,67.2,41.35,22.8855,47.9167,220.2,56.4,38.6338,62.85,67.5481,60.633,41.0,,38.7113,49.4633,10.6743,45.3685,15.9052,71.8,37.5558
2001-02-21,5474.37,44.8239,20.92,49.5868,46.5,269.0003,3.47,31.5307,44.2879,34.9768,192.6,65.3,,35.6449,17.72,21.68,,16.485,56.6928,,81.75,87.1648,58.8387,66.35,42.34,22.6544,50.3667,219.8,58.2,38.7474,63.5,67.5964,59.928,39.46,,38.4893,49.6439,10.8587,45.1253,16.0033,69.7,37.4112
2001-02-22,5452.48,43.8309,20.95,49.4532,46.0,272.6664,3.5,30.4207,42.7208,34.8052,190.8,65.7,,35.008,17.72,22.32,,16.6,57.7576,,83.6,85.8429,59.8548,66.35,42.89,22.8393,51.45,223.1,60.1,38.1569,63.0,67.4999,58.1654,38.87,,38.8594,50.0309,10.9654,44.2598,16.4206,69.5,37.8207
